"filename", "language", "JSON", "JavaScript", "Markdown", "SCSS", "XML", "CSS", "HTML", "comment", "blank", "total"
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\cards\_card-pricing.scss", "SCSS", 0, 0, 0, 87, 0, 0, 0, 0, 8, 95
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\cards\_card-product.scss", "SCSS", 0, 0, 0, 46, 0, 0, 0, 0, 3, 49
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\cards\_card-profile.scss", "SCSS", 0, 0, 0, 32, 0, 0, 0, 0, 6, 38
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\cards\_card-raised.scss", "SCSS", 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\cards\_card-register.scss", "SCSS", 0, 0, 0, 22, 0, 0, 0, 0, 3, 25
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\cards\_card-signup.scss", "SCSS", 0, 0, 0, 47, 0, 0, 0, 0, 10, 57
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\cards\_card-testimonials.scss", "SCSS", 0, 0, 0, 50, 0, 0, 0, 0, 6, 56
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\mixins\_alerts.scss", "SCSS", 0, 0, 0, 11, 0, 0, 0, 0, 0, 11
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\mixins\_buttons.scss", "SCSS", 0, 0, 0, 102, 0, 0, 0, 1, 15, 118
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\mixins\_inputs.scss", "SCSS", 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\mixins\_labels.scss", "SCSS", 0, 0, 0, 20, 0, 0, 0, 0, 1, 21
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\mixins\_navbars.scss", "SCSS", 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\mixins\_popovers.scss", "SCSS", 0, 0, 0, 20, 0, 0, 0, 0, 2, 22
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\mixins\_social-buttons.scss", "SCSS", 0, 0, 0, 59, 0, 0, 0, 0, 10, 69
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\mixins\_tabs.scss", "SCSS", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\mixins\_tags.scss", "SCSS", 0, 0, 0, 28, 0, 0, 0, 0, 2, 30
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\mixins\_transparency.scss", "SCSS", 0, 0, 0, 16, 0, 0, 0, 2, 2, 20
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\mixins\_vendor-prefixes.scss", "SCSS", 0, 0, 0, 215, 0, 0, 0, 6, 31, 252
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\plugins\_plugin-bootstrap-select.scss", "SCSS", 0, 0, 0, 409, 0, 0, 0, 12, 9, 430
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\plugins\_plugin-bootstrap-switch.scss", "SCSS", 0, 0, 0, 226, 0, 0, 0, 8, 41, 275
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\plugins\_plugin-datepicker.scss", "SCSS", 0, 0, 0, 384, 0, 0, 0, 5, 7, 396
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\plugins\_plugin-datetimepicker.scss", "SCSS", 0, 0, 0, 365, 0, 0, 0, 13, 7, 385
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\plugins\_plugin-fileupload.scss", "SCSS", 0, 0, 0, 111, 0, 0, 0, 0, 2, 113
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\plugins\_plugin-isometricGrids.scss", "SCSS", 0, 0, 0, 672, 0, 0, 0, 27, 313, 1012
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\plugins\_plugin-nouislider.scss", "SCSS", 0, 0, 0, 318, 0, 0, 0, 36, 20, 374
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\plugins\_plugin-perfect-scrollbar.scss", "SCSS", 0, 0, 0, 104, 0, 0, 0, 9, 1, 114
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\plugins\_plugin-tagsinput.scss", "SCSS", 0, 0, 0, 95, 0, 0, 0, 5, 15, 115
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\plugins\photo-swipe\_default-skin.scss", "SCSS", 0, 0, 0, 438, 0, 0, 0, 1, 72, 511
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\plugins\photo-swipe\_gallery.scss", "SCSS", 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\plugins\photo-swipe\_main-settings.scss", "SCSS", 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\plugins\photo-swipe\_main.scss", "SCSS", 0, 0, 0, 153, 0, 0, 0, 33, 28, 214
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\sections\_blogs.scss", "SCSS", 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\sections\_contact-us.scss", "SCSS", 0, 0, 0, 43, 0, 0, 0, 0, 7, 50
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\sections\_features.scss", "SCSS", 0, 0, 0, 64, 0, 0, 0, 0, 2, 66
